row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
0000c32c36f158a,cat_4,5,0.8750020399046913,,-13.889415857598237,ord_0,ord_6,ord_0,0,,3,-0.7791209348196327,,7,0,cat_1,,1
00023e15e24358c,cat_4,,-3.2494818254756073,ord_2,-1.1388617529313403,,,,1,-0.45096941388598577,33,0.9611339471240491,,6,,cat_1,,0
000461bf7816918,cat_0,0,,ord_5,-2.620097347287861,ord_0,ord_6,,,-2.9256175636486708,0,-1.831109713969912,0,2,0,cat_4,0.45321195859452473,1
00055a6c15a9e08,cat_3,13,-4.284399499717646,ord_2,9.501129897111792,,,,4,-2.2041083071201504,29,0.35885200654768645,0,4,1,cat_1,,0
00079a4643ae8ed,cat_3,,-3.9427077685464944,,,,ord_6,,0,5.2233078854329555,13,,0,2,,cat_1,,1
000b77c01aeaa45,cat_3,,-5.022830219348201,ord_2,2.887093873772594,ord_0,,ord_5,16,-4.897543461735854,25,-3.011960381099038,3,,3,cat_0,,0
00137edd6eabf1b,cat_4,,-0.9466335988831593,,14.132926594781637,ord_0,ord_6,ord_3,0,,17,1.5618953834670832,0,1,,cat_1,,0
0020596ba6e53ad,cat_3,,-3.2070358444014557,,16.365456352950577,ord_0,,ord_6,64,2.799540913213582,34,2.014697286508346,0,61,10,cat_4,,1
00239822bc811e5,cat_3,6,-3.42990635495781,,-11.802497677268569,ord_0,,ord_5,0,-1.7815565945977863,17,-0.23565761880736247,,4,0,cat_1,,0
002b3e8abc7f282,cat_4,11,-1.4572145669591878,ord_3,13.48383743187548,ord_0,ord_6,,0,-3.8571078834846144,38,-2.0917473799782007,0,,10,cat_4,,0
0037f6d4fd572b7,cat_4,,-1.940187891086683,,-5.328798061293972,,ord_6,ord_3,0,1.0820327444003703,15,-1.1057379624051114,0,,,cat_4,-0.4117350117016562,0
0043fdf19343aa2,cat_0,4,-2.675683875822258,,,,,,20,-4.7166420983966155,0,1.1282293535974581,1,,,cat_4,,0
00452009ca93da8,cat_4,20,-1.3421973300077044,ord_2,,,ord_6,ord_6,14,-3.3635392934836092,38,-5.45784056068228,0,4,,cat_1,-0.650359858446766,0
