row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
00926bd187a971,2.086589146193982,cat_3,,1,cat_4,,1,cat_6,0,0
0240bc4e1f1e03,-2.7222977633394283,cat_6,-0.9971823495852411,0,cat_0,cat_2,0,cat_0,2,1
02a0eb68ee02a2,1.9002304389311986,cat_6,0.3510357481332514,0,cat_6,cat_2,1,cat_4,0,1
03ad53879f563c,1.9905313473028716,cat_1,,,cat_1,,0,cat_2,2,0
04ba21cfeccb52,0.07705667760100693,cat_3,-2.016627826361936,1,cat_1,cat_5,1,,0,1
06bfc5eb44e1b8,-1.5354483478635816,,-0.0744609237134537,,,cat_5,0,cat_4,3,1
0790655c7b7e70,-1.7811888766553627,,-0.131325134565081,1,cat_5,cat_5,0,cat_0,0,0
07ce5dba047403,-3.1548028679611124,,0.43207369172601556,,,cat_3,0,cat_0,0,1
08f6a22a3c0e6f,2.40171207136265,cat_6,-0.33435855445247564,0,cat_0,cat_1,0,cat_6,0,1
094ce77d8baf18,1.5622483118905797,,-0.1972856198584101,,cat_4,cat_7,0,cat_5,2,0
0ae283883e2022,-1.9336060845219611,,,1,cat_1,cat_2,0,cat_6,6,1
0aec217362a866,-2.5897456344469023,,0.023328050788967658,1,cat_6,cat_3,1,cat_4,1,0
0c777578bea71d,-4.057967599303256,cat_5,-1.4372271251527957,,cat_5,cat_1,1,cat_3,0,0
0c77ef981dab8e,-0.16153596981466456,,2.4216503767526647,,cat_3,,0,cat_6,3,1
0cd6d86d7f5600,-1.2238700788940027,cat_0,2.2039987249242676,0,cat_6,cat_4,3,cat_1,0,0
0d88dcc9d79483,4.389011774842118,cat_2,,1,cat_2,,1,cat_0,,0
0e58b25ad12ffe,-0.7738922441026848,cat_1,-0.14210426404429427,,cat_2,,1,cat_3,1,0
0eb7a81b6aaafa,2.1817431989691163,cat_2,1.0860490531824187,,cat_6,cat_2,1,cat_0,0,0
