row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
0009990d31df6c3,0,cat_0,3,12,cat_1,cat_1,cat_2,0.5631307813512609,0,cat_6,0.04381403997605354,9,-2.676060730555946,0,7,ord_2,cat_1,0,1
0012ef715b56a36,0,cat_1,0,53,cat_1,cat_0,,-2.7097805380405875,0,cat_1,-0.1833716279414393,16,3.459423983836617,8,0,ord_2,cat_2,0,1
001ccc884eeaf33,0,cat_3,0,29,cat_0,cat_1,cat_3,1.8391986328302599,,cat_3,0.0078952828538775,10,-1.9699753982524824,5,5,ord_3,cat_2,2,0
001ebfe4798337a,0,cat_4,0,54,cat_0,cat_1,cat_1,-3.364611588781415,0,cat_1,0.07407347909588674,24,-2.0314282550482683,1,0,ord_5,cat_2,0,1
002f1c608f318e1,0,cat_2,0,6,cat_0,cat_0,,-2.1257147465668345,,cat_2,-0.20666487865463107,15,-2.2129865145161953,3,6,ord_2,,0,0
007b1db5614a46b,0,cat_3,0,38,cat_2,cat_0,cat_0,-1.5721369101885638,,,-0.02432116171399238,31,-3.7514875298520027,2,2,ord_1,,0,1
009f25af73378fb,0,cat_4,46,24,cat_1,cat_1,,1.3453043024724343,31,cat_3,0.2720818986995197,3,2.797161128967091,12,5,ord_3,cat_0,0,1
00aea4fe22474cd,0,cat_1,0,105,cat_0,cat_1,,0.3706767834373841,45,cat_6,0.15163914338742998,3,-1.0490413899311448,13,8,ord_3,,0,0
00c6f85ad599000,0,cat_0,0,35,cat_1,cat_1,,0.4601650243794021,0,cat_4,0.12666319954894806,19,0.8183507903098599,0,0,ord_2,cat_2,0,1
00e1f1cfda505db,1,cat_2,,5,cat_0,cat_0,cat_1,-3.0224619368457604,,cat_4,0.07671076851368562,12,2.2936530594071662,9,2,ord_2,,1,0
00fa40bf2c917e7,2,cat_4,,43,cat_2,cat_0,,-2.102870855899565,18,cat_5,0.06311288429911412,7,1.1940562592014392,5,13,ord_3,,0,0
0112581ad1bee17,0,cat_0,0,46,cat_1,,cat_0,-0.3217306390300557,,cat_5,0.2116197324944502,5,-1.4665111266819153,4,12,ord_3,cat_2,0,0
012711c06ca34c7,0,cat_0,50,25,cat_1,cat_1,,0.9272600502313121,34,cat_3,0.22477223244234334,11,-0.5824253977658909,20,5,ord_3,,3,1
0142e57d5bf90a2,0,cat_0,0,35,cat_1,cat_1,cat_1,-0.5294665676543595,26,cat_2,0.035117993969241854,11,-0.6330570014343707,0,5,ord_5,,0,0
0153e9153a2a962,1,cat_2,0,34,cat_1,,cat_0,1.0702744892436495,0,cat_4,0.26319816683344033,14,-2.881620280518838,0,7,ord_2,cat_2,0,1
017b6c97688d333,0,cat_4,71,113,cat_2,,,1.7442103077889661,,cat_5,0.4143784510820714,2,1.4587926531935695,1,,ord_5,cat_2,3,1
018af950294f5c7,0,cat_1,,49,cat_1,cat_1,,-1.8471508729646395,54,cat_2,0.26420994106843115,19,3.237371266514584,18,3,ord_3,,2,0
019ef8266140050,0,cat_0,21,64,cat_0,cat_1,cat_1,-2.426551742969049,,cat_1,0.007079975393546087,10,-3.817480677355286,0,2,ord_5,cat_2,0,0
01b9e73e9cf841c,1,cat_4,,29,cat_0,cat_0,,1.416709845529906,,cat_2,0.42249676190086677,8,-1.4805470922189168,2,6,ord_1,,3,1
01c091c201ccd3c,1,cat_2,0,48,cat_0,cat_1,cat_1,-2.247404087034424,,cat_2,-0.06837508404021911,18,0.9546717341836585,0,2,ord_5,,1,0
01c4bb1cad8431f,0,cat_1,0,33,cat_0,cat_1,cat_1,-3.5004617088043837,,cat_1,-0.23225751277788778,7,-1.856082922729515,13,9,ord_1,cat_1,0,0
01db9783c9c8951,0,cat_0,0,45,cat_1,cat_0,,-2.843738020736463,,cat_5,0.02345206387688246,19,-1.7893604408876447,47,0,ord_3,,0,0
01f8dc3501ae79f,0,cat_1,0,21,cat_0,cat_0,,0.7614509651285446,,cat_1,0.3226983132763799,16,1.8596402168824286,0,1,ord_0,,0,1
01fae57ddd88d9e,0,cat_4,0,75,cat_0,cat_0,cat_1,-2.834697039616362,,cat_5,0.016883430474168945,26,-2.6743619980477575,0,3,ord_0,cat_1,0,1
02028b53aaeb6fd,0,cat_4,9,31,cat_1,cat_0,cat_1,-1.0159402170008638,,cat_2,0.3695059501137855,2,-1.7390188707796397,6,16,ord_3,,0,0
0212fa89a39da62,1,cat_4,,16,cat_0,cat_1,cat_2,-2.014382180684051,78,cat_1,0.3028462057577839,2,0.5287970271218222,0,9,ord_4,cat_0,0,1
0220690bdfd85de,0,cat_4,0,15,cat_0,cat_1,cat_0,-1.405335150819627,14,cat_3,0.03701494802177446,20,1.3877608517682458,0,3,ord_2,,2,1
023fb446530136a,0,cat_4,0,4,cat_1,cat_0,,-0.17595713688201847,0,cat_3,0.233491318745287,14,0.9320098558110068,7,5,ord_3,cat_2,0,1
02458b7786f1c5e,0,cat_3,0,16,cat_0,cat_0,,0.19064669029652626,0,cat_1,0.26090179076264575,9,2.8766595718804697,0,7,ord_1,cat_0,0,0
0254f55f433e701,0,cat_3,0,47,cat_0,cat_1,cat_1,-3.0875292373024856,13,cat_2,-0.18558333946238353,20,3.803768746726918,2,0,ord_3,,0,0
027de5a6f93063c,0,cat_1,2,23,cat_2,,,2.320096525240228,,cat_3,0.17953979300251,13,2.590730469826012,1,5,ord_2,,0,0
029272df80a69ac,0,cat_4,0,18,cat_0,cat_0,,1.625239591616067,15,cat_5,0.2549217620024484,20,1.3560371322666611,0,1,ord_2,cat_2,0,1
02b0a56843e4340,0,cat_1,0,36,cat_2,cat_1,,-5.023171731765464,36,cat_0,-0.10591025120494928,3,0.9801396334135657,16,9,ord_2,cat_0,1,0
