row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
00037552ddb67d8,cat_4,cat_2,cat_0,cat_3,cat_2,cat_2,cat_0,cat_1,cat_1,0
000399ec6ddebe8,cat_1,cat_3,cat_1,cat_3,cat_1,cat_2,cat_3,cat_5,cat_2,0
000c88fb342ca40,cat_2,cat_2,cat_0,cat_4,cat_0,cat_0,cat_4,cat_1,cat_2,1
001036ae5c31b6b,cat_2,,cat_1,,cat_0,cat_7,cat_2,cat_2,cat_1,1
001105ea74a50e4,cat_2,cat_2,cat_1,cat_3,cat_0,cat_2,cat_0,cat_4,,0
0014d02c5b3d2f5,cat_1,cat_2,cat_1,,cat_1,cat_0,cat_3,cat_5,cat_1,1
0019a1e456f2ab6,cat_1,cat_1,cat_1,,cat_0,cat_7,cat_4,cat_1,cat_2,1
001b4b043c90c96,cat_1,,cat_0,cat_4,cat_0,cat_7,cat_3,cat_5,cat_1,1
001ed395249ca09,cat_2,cat_1,cat_1,cat_5,cat_1,cat_2,cat_3,cat_5,,1
002128f175f8431,,cat_1,cat_1,cat_0,cat_1,cat_0,cat_3,cat_3,cat_1,1
002138164fd7bac,,,cat_1,,cat_0,cat_3,cat_3,cat_1,cat_1,1
0021bc8275263d7,cat_1,cat_1,cat_1,,cat_1,cat_2,cat_0,cat_5,cat_0,1
002362318cff86b,cat_2,cat_2,cat_0,,cat_0,cat_0,cat_4,cat_3,cat_1,1
0037b6331b7ebd4,cat_2,cat_2,cat_0,cat_2,cat_0,cat_0,cat_2,,cat_1,1
0038409e3adc092,cat_2,,cat_0,cat_1,cat_2,cat_0,cat_0,cat_3,cat_2,0
003c28bda520644,cat_2,,cat_1,cat_5,cat_2,cat_0,cat_3,cat_0,cat_1,1
0045c688ab86bf8,cat_1,cat_3,cat_1,,cat_0,cat_6,cat_2,cat_5,cat_2,1
004cd53ad0af468,cat_2,cat_0,cat_0,,cat_0,cat_0,cat_3,cat_1,cat_2,0
00651be0c33443b,cat_2,,cat_1,cat_4,cat_0,cat_6,cat_0,cat_5,cat_2,1
00763d10f356c7f,cat_2,,cat_1,,cat_0,cat_3,cat_3,cat_3,cat_2,0
007f0aa17e442a4,cat_2,,cat_0,cat_3,cat_0,cat_7,cat_4,cat_1,cat_2,0
0087ada8092ea45,cat_4,cat_2,cat_0,cat_5,cat_0,cat_2,cat_4,cat_4,cat_1,0
00990f427429463,cat_2,cat_2,cat_0,cat_4,cat_2,cat_0,cat_3,,cat_1,1
009d5ba82fbfdca,,,cat_1,cat_4,cat_1,cat_1,cat_3,cat_1,cat_0,1
00a2abb145cf862,cat_4,cat_3,cat_1,,cat_0,cat_0,cat_4,cat_4,cat_2,1
00a4ec6195ff73f,cat_2,,cat_1,cat_3,cat_2,cat_4,cat_3,cat_1,cat_1,0
00ad8cfd7a52203,cat_1,cat_1,cat_1,cat_4,cat_0,cat_7,cat_4,cat_1,cat_0,1
00b55cf8fa4a518,cat_1,cat_1,cat_0,,cat_1,cat_1,cat_3,cat_0,cat_0,0
00b6995bca6637d,cat_4,cat_1,cat_1,cat_1,cat_2,cat_2,cat_2,cat_1,cat_1,0
00bd644f86a7afb,cat_1,,cat_0,,cat_0,cat_3,cat_2,cat_5,,1
00be64f24db612f,cat_3,cat_3,cat_1,,cat_0,cat_2,cat_3,cat_4,,0
00c4d6d8638eb4a,cat_3,,cat_1,,cat_2,cat_6,cat_3,cat_3,cat_0,1
00d33917f9cc9d6,cat_2,,cat_1,cat_4,cat_0,cat_2,cat_3,cat_2,cat_0,1
00dc46922ab66df,cat_2,cat_1,cat_1,cat_1,cat_2,cat_7,cat_3,cat_0,cat_2,1
00e42204f063a28,cat_4,cat_3,cat_0,,cat_0,cat_2,cat_3,cat_0,,0
00e8810f09b1640,cat_4,,cat_1,cat_0,cat_2,cat_0,cat_2,cat_0,cat_1,1
00f4070f7aede40,cat_2,cat_1,cat_1,,cat_0,cat_0,cat_0,cat_1,cat_0,0
00f42fc4cf174df,cat_1,cat_2,cat_1,,cat_0,cat_2,cat_3,cat_2,cat_2,0
00f884faab25233,cat_3,cat_1,cat_1,cat_4,cat_0,cat_0,cat_2,cat_1,cat_1,1
00f95a7fb10e548,cat_4,,cat_0,cat_4,cat_2,cat_5,cat_3,cat_5,cat_1,0
00fc218e545e1bf,cat_3,cat_0,cat_0,,cat_2,cat_0,cat_3,cat_3,cat_2,1
00fcb8ad0e1b744,cat_2,,cat_1,,cat_0,cat_4,cat_3,cat_1,cat_1,1
00fffc4d8dc2397,cat_3,cat_0,cat_0,cat_1,cat_2,cat_7,cat_4,cat_1,cat_1,0
0104e10d3669d73,cat_1,,cat_1,,cat_0,cat_7,cat_4,cat_4,,1
010b0fddaaff4f3,cat_2,,cat_1,,cat_2,cat_2,cat_3,cat_3,cat_2,0
011b027809493d5,cat_1,cat_1,cat_1,,cat_1,cat_7,cat_4,cat_1,cat_1,1
011d61bb30a91d5,cat_1,cat_1,cat_1,,cat_1,cat_3,cat_0,,cat_1,0
01228d22cf24242,cat_1,cat_0,cat_1,,cat_0,cat_2,cat_3,cat_3,cat_1,0
012641a95fb095c,cat_2,,cat_0,,cat_0,cat_4,cat_0,cat_4,cat_1,0
013a0fc63559616,cat_2,cat_0,cat_0,cat_1,cat_0,cat_0,cat_3,cat_2,cat_1,0
013ea13c2bc1f35,cat_2,,cat_1,,cat_2,cat_0,cat_3,cat_4,cat_0,1
013f8bcfbb8d400,cat_1,cat_1,cat_1,,cat_2,cat_1,cat_3,,cat_0,1
0150fce38af7237,cat_2,,cat_1,cat_2,cat_1,cat_1,cat_2,cat_5,cat_1,1
016fc90bd9ec93f,cat_0,,cat_0,cat_5,cat_2,cat_3,cat_4,cat_3,cat_1,1
01750dc2f95a264,cat_1,,cat_1,cat_3,cat_0,cat_1,cat_4,,cat_1,0
017834ff2ff7289,cat_4,cat_2,cat_1,cat_2,cat_2,cat_2,cat_2,cat_3,cat_1,1
017a9a07968ba93,cat_3,,cat_1,cat_1,cat_2,cat_6,cat_3,cat_4,cat_1,0
0181ce4ab7cda6d,cat_2,,cat_1,,cat_2,cat_6,cat_3,cat_5,cat_1,1
018221f596ae0f9,cat_1,cat_0,cat_1,,cat_0,cat_1,cat_3,,cat_1,1
0183644dbd49e3f,cat_2,cat_1,cat_1,,cat_0,cat_0,cat_3,cat_3,cat_1,1
0187046a73fea80,,cat_3,cat_1,cat_3,cat_0,cat_7,cat_3,cat_4,cat_0,1
018edc83416e385,cat_4,,cat_0,,cat_1,cat_6,cat_3,,cat_0,1
018fe3e93d82ed8,cat_4,cat_2,cat_1,cat_1,cat_0,cat_0,cat_3,cat_4,cat_0,0
0196a5e03677756,cat_4,,cat_1,,cat_2,cat_3,cat_3,cat_3,cat_2,1
01a8d12fdabd39a,cat_2,,cat_1,cat_3,cat_2,cat_7,cat_3,cat_3,cat_2,0
01af0d0163acdaf,cat_2,cat_1,cat_1,cat_1,cat_0,cat_0,cat_0,cat_5,cat_1,1
01b25d4cf9ec9fe,cat_2,cat_0,cat_0,cat_1,cat_0,cat_1,cat_1,cat_5,,0
01bd977d6fab1c5,cat_4,,cat_0,cat_0,cat_2,cat_3,cat_3,,cat_1,1
01d42152f5e91de,cat_1,,cat_1,cat_4,cat_0,cat_5,cat_4,cat_2,cat_1,1
01d7b570155e9b2,cat_2,,cat_0,cat_3,cat_0,cat_0,cat_3,cat_4,,0
01dee89b1ff941b,cat_3,,cat_1,cat_5,cat_1,cat_6,cat_3,cat_3,cat_0,0
01e01884f162ece,cat_1,,cat_1,,cat_2,cat_2,cat_3,cat_3,cat_1,1
01e6988a7856195,cat_4,cat_3,cat_1,,cat_2,cat_6,cat_3,cat_5,cat_2,0
01f4426f9d0f0b3,cat_3,cat_1,cat_1,cat_5,cat_0,cat_0,cat_4,cat_5,cat_0,1
01f71d2f4f8efa8,cat_2,cat_3,cat_1,,cat_0,cat_7,cat_4,cat_5,cat_2,0
01fab8887117a60,cat_4,cat_2,cat_1,cat_5,cat_1,cat_6,cat_0,cat_0,,0
020383621846ce5,cat_2,cat_2,cat_1,,cat_0,cat_0,cat_3,cat_0,cat_2,1
0204c5a14c23aad,cat_3,,cat_1,cat_3,cat_0,cat_6,cat_2,cat_1,cat_0,0
021f6ee9efb9a06,cat_2,,cat_1,cat_4,cat_2,cat_6,cat_3,,cat_0,1
022910e10de3da1,cat_1,cat_3,cat_1,cat_3,cat_1,cat_4,cat_4,,,0
0235ac138ca5eab,cat_3,cat_0,cat_1,cat_4,cat_0,cat_0,cat_3,cat_3,cat_1,1
024e5f766fd7d69,cat_2,,cat_1,cat_1,cat_2,cat_4,cat_4,cat_4,,0
