row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
0003a4135fc280,cat_6,28,-2.328094030337516,,,cat_0,cat_2,cat_0,0,1
009edb97227d8f,cat_3,0,,,9,cat_1,cat_0,cat_0,0,0
00b1b2352a4c9c,cat_4,41,,cat_2,0,cat_2,cat_0,cat_4,3,1
016f063a1b1020,cat_3,0,-0.7698592873331653,cat_7,,cat_0,cat_2,cat_1,,0
01f50425597725,cat_4,22,-0.21000943404208888,,10,cat_0,cat_1,cat_0,3,0
0208d2cfb05a45,cat_0,0,,cat_3,18,cat_3,cat_2,cat_4,4,1
021abdf1fe92d0,cat_5,,,,,cat_1,cat_2,cat_3,8,0
027e11fdc6fbf6,cat_0,56,0.059276777012675974,,,cat_0,cat_0,cat_0,,1
02c32cb99daac9,cat_2,0,,cat_5,0,cat_2,cat_1,cat_0,10,1
02f4c8772d4bcd,cat_2,22,0.2622952412208406,cat_4,143,cat_2,cat_0,cat_2,1,0
02f82edfeedb83,cat_5,34,,cat_4,,cat_0,cat_3,cat_3,,1
0323f78c78f6d3,cat_6,25,-0.40982355251360486,cat_2,19,cat_0,cat_0,cat_1,2,0
03313203eae642,cat_5,32,1.6745355246643714,cat_3,64,cat_2,cat_3,cat_3,,0
03399a00a33515,cat_4,,-1.767497925336039,cat_7,1,cat_0,cat_2,cat_1,0,0
0372642117558c,cat_3,72,,cat_3,,cat_2,cat_0,cat_4,,0
039b7bde58b956,cat_3,0,2.3720355412277283,cat_3,86,cat_2,cat_3,cat_1,4,0
03def57df3db97,cat_5,21,,cat_4,,cat_1,cat_2,cat_2,5,0
0420ef550579c0,cat_5,0,-1.1096612309858571,cat_6,,cat_0,cat_2,cat_1,7,1
04770367e137a6,cat_5,36,-0.9463494791295065,cat_2,0,cat_0,cat_1,cat_1,4,0
049905b90df54d,cat_0,35,0.1938203396499134,cat_3,0,cat_2,cat_0,cat_4,5,1
04d8f807950e68,cat_3,0,,cat_3,82,cat_2,cat_3,cat_4,4,0
04f31c8664987e,cat_5,45,0.6654783202838463,,21,cat_2,cat_2,cat_4,,1
04ff1abae303af,cat_0,16,,cat_3,,cat_1,cat_3,cat_4,3,0
05401a0c486f69,cat_2,24,,cat_3,,cat_2,cat_0,cat_3,,1
05450fad9f10fa,cat_5,,-0.795662660148691,cat_6,0,cat_0,cat_0,cat_1,5,0
057d9a28719a91,cat_6,0,-1.2352088854193786,cat_6,0,cat_0,cat_3,cat_2,,1
05a471d1d44184,cat_4,0,,cat_1,0,cat_0,cat_0,cat_4,,1
05d02bd5ae376c,cat_3,0,0.1012881185325018,,,cat_1,cat_1,cat_2,0,0
0607175141bf69,cat_5,0,,,,cat_1,cat_3,cat_2,6,0
060b62522e3015,cat_4,0,-1.1298019604890635,cat_6,,cat_0,cat_2,cat_4,,1
0654ad108f2819,cat_0,0,-0.6083759597584031,,9,cat_1,cat_2,cat_2,,0
065d4e865c54e2,cat_4,73,-1.3789755894589741,cat_1,,cat_0,cat_3,cat_4,0,0
06854125dcfd9c,cat_0,22,,cat_1,,cat_0,cat_2,cat_2,0,1
068d1aba2eb0e8,cat_5,0,,cat_4,21,cat_0,cat_2,cat_3,,0
06dbc40ef19a0a,cat_5,30,0.6894023850134597,,51,cat_1,cat_3,cat_2,,0
