row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,target
000465941862d22,ord_0,ord_1,3,ord_0,0.7431228630141725,ord_5,2.098658804009039,cat_1,65,,ord_4,ord_3,0.815770915422751,ord_0,cat_1,0.07220966081056542,cat_0,cat_4,3.9857661169094314,ord_2,ord_2,1.8268956712812914,ord_2,0
002414d221407be,ord_0,ord_3,0,ord_3,0.021581574034455098,ord_5,0.8324823544589444,cat_1,2,ord_5,ord_4,ord_0,-0.395650067851427,ord_0,cat_1,0.21135985525821827,cat_1,cat_3,,,ord_1,1.3999541466692305,,0
003a45b3a3ebe86,ord_0,ord_1,4,,0.03482516130058777,ord_6,2.9373505964360946,cat_1,80,ord_1,ord_4,ord_1,0.7260679145844638,ord_0,cat_1,0.05898788483129567,cat_1,cat_1,0.8134509204298476,ord_1,,2.676669204791098,ord_0,1
0040ef77906ece8,ord_1,ord_3,0,ord_2,0.7483782417090901,,-2.962786520917774,,12,,ord_4,ord_0,0.9024105635721682,ord_1,cat_0,0.13929073932225478,cat_0,cat_3,-1.1891836835706395,ord_3,ord_1,1.8113441989233712,ord_3,1
0051b1dbaf9cf25,ord_0,ord_3,,ord_0,-0.39777205798953114,,0.1763146065269281,cat_1,11,ord_5,ord_4,ord_0,0.09975886447334653,ord_0,,0.08256271702264048,cat_1,cat_1,,ord_3,ord_2,7.1115183119074565,ord_2,1
005e94549159387,ord_1,,0,ord_3,0.37390045290704343,,-3.5148842786354706,cat_1,0,,ord_4,ord_0,0.7607324607200441,ord_0,cat_0,0.16721188110765123,cat_0,cat_0,1.2572886821385867,ord_1,ord_0,1.112288500707829,ord_3,0
0068b42a5c209be,,,8,ord_1,0.895110416563506,ord_6,1.4456167525889243,cat_1,12,ord_3,ord_4,ord_0,0.8992733573891785,ord_0,cat_1,0.0621210558202408,cat_0,cat_3,2.0079028514583825,ord_3,ord_2,6.677285916378609,ord_3,0
007095cdb86081b,ord_2,ord_3,0,,1.4119158079347292,,1.261482278714591,cat_1,11,ord_5,ord_4,ord_0,0.8547652079469104,ord_0,cat_1,0.16608945033905714,cat_0,cat_2,,,ord_0,,ord_3,1
007c2b8cfdbe820,ord_0,,2,ord_1,0.3948413973517604,ord_0,0.7082484333107006,cat_1,25,,ord_4,ord_0,0.862861077964363,ord_0,cat_1,0.08619919127554236,cat_1,cat_5,-1.718942139385777,ord_3,ord_0,,ord_2,0
0080a0397135339,ord_2,ord_3,0,ord_3,-0.36510703970482344,,0.9896666542815987,cat_1,8,,ord_4,ord_0,-0.321927672441468,ord_0,,0.17106860366739124,cat_0,cat_1,-0.6576816258513738,ord_1,ord_0,0.6365339568226213,ord_0,1
0087d14a162c681,ord_0,,1,ord_0,1.1829467437492172,,1.3021717105087167,cat_1,69,ord_5,ord_4,ord_1,-1.0886542638632444,ord_0,,0.06323232709921792,cat_1,cat_3,-3.9356845181545546,ord_2,ord_0,1.6225370576550875,,1
