row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
001c3320754f72,1,2,-1.5736649023715654,0.03264631178215177,ord_4,10,,0,3,-3.174293092718661,32,0.12788904363366255,ord_3,,-0.21566907070111485,0.27766683634732403,ord_6,1,0
00d0cb0c47df2c,4,0,,-0.28019373572642764,ord_0,1,ord_1,1,27,2.9122742484156854,2,,ord_0,0.5917274339133223,0.5714635045797172,,ord_3,1,0
011e7c20b2d05d,4,2,-3.035303557864583,1.1882226296016198,ord_4,5,,4,41,,13,-0.30042102386634695,ord_0,2.3774360615269066,0.7800352226758798,0.45893319576814406,ord_2,2,1
0185379d9e93c5,8,0,-0.9265151986184779,0.2328861459723829,ord_3,3,,28,,,22,,ord_3,-1.9343017909583662,0.9703171174115041,,ord_4,2,1
01dbb5f75ac704,2,1,0.21030469837980098,2.6922709941262317,ord_3,2,ord_3,45,,-0.3059707941656922,2,-0.4522834791699558,ord_2,-1.938474342109428,-0.008084389300047845,0.7652091775432575,ord_4,9,0
021508196ab0ca,0,6,,-1.2910330716593845,,1,ord_2,38,23,,15,-0.6739795203370229,ord_2,-1.7823669605265888,0.06945010773595146,0.0,ord_3,0,1
021f39ec547ce9,0,6,-0.9547264341358208,-0.44617549552748015,ord_3,3,ord_2,1,0,-1.109090361314988,67,,ord_2,-1.7637397967541668,0.0004460763589030081,0.4501265274941871,ord_0,0,1
02512a381bb01e,3,2,-0.12152356620243099,1.3533187093750874,,2,ord_3,7,2,0.2759875654446015,48,-0.3262896362872497,ord_1,-0.5569970367919918,,0.5994743696223829,ord_5,6,0
02afe0201a2190,10,0,0.1396860309027963,-1.117731549573774,ord_4,0,,2,9,0.033057171489354276,18,0.2135026076411526,ord_3,1.3885610629355423,0.701768167592338,0.4030742807564212,ord_0,4,0
02bdab6317d547,4,6,0.47811509648023653,-0.3745097658098374,,15,ord_1,5,10,2.1039289431784773,9,-0.31214316728616276,ord_0,1.4172085924943294,0.3690081116162796,0.44864354516945976,ord_1,,1
037ae254098718,3,3,-1.097781989929595,1.0735460707000515,ord_1,4,ord_0,3,0,0.12476432635906409,77,0.011613216466259554,,1.399081089209084,0.1683806950947902,0.8712848164333603,ord_2,2,1
03f96c2773ada1,0,22,,0.48776461018178374,,5,ord_1,8,0,,60,,,-0.11043343649712015,0.36436096856820477,0.0,ord_3,3,1
03ffa9fcecdca6,1,8,1.127499498457458,1.3992746359298616,,15,ord_2,11,1,-2.915578657692947,56,-0.9512117792380584,ord_3,-0.6547750495356498,,0.0,ord_6,6,0
041b86b8928d40,6,2,,0.024111007452416677,ord_0,0,ord_3,1,36,,36,-0.6230234818082139,ord_0,1.0934634390528462,-0.06006092084938207,0.0,ord_3,,1
0444d8fc1b252a,2,10,1.6859290521516885,1.3104283718227345,ord_3,0,,6,1,-0.5082552369830882,59,0.1999241704000147,ord_2,-0.8849182738933707,-0.3378395201502251,,ord_3,1,1
049b2639874987,5,0,-2.3091851321510592,-2.02784770492327,ord_1,13,ord_1,2,33,1.7344950852645815,10,-0.2801003130725665,ord_0,1.8111337070098774,0.09639650631201468,0.4618013960822539,ord_0,,1
049c49389e6a97,0,8,1.513186674361204,2.643539502628484,ord_0,6,ord_3,2,2,,26,,ord_2,2.095133033351252,0.011936133224188662,0.0,ord_2,7,1
04acc71fc6d91f,0,11,-0.9571067868963816,-1.679476749488219,ord_2,5,ord_0,0,4,2.377294238471131,43,0.1348549955342718,ord_2,1.239851562709101,-0.3087134934838225,0.9477389025539351,ord_0,0,1
04e0100c6da4c9,1,12,1.0202864638463536,3.5163934940450003,,16,ord_2,6,0,,118,0.042425813238279875,ord_0,-1.0421533176187292,-0.20812352292947592,0.5641171893344037,ord_3,8,0
04ea7231fc5bcd,2,0,,,ord_2,1,,17,2,,26,,ord_3,-2.0465911992155967,-0.2727077795638323,0.0,ord_3,0,0
05062ccd67ef9f,1,4,-1.0977903581095498,0.7451999736806023,ord_2,7,ord_3,1,7,-0.0561753317311649,25,,ord_2,1.2994094327802341,0.93486828014605,0.0,ord_1,2,1
056a12f179d73f,7,0,,-0.4567165549126122,,0,,8,2,0.6741006257034095,38,-0.8474569464503925,ord_3,-1.1074670927789123,0.17442975970314215,0.5008254146634292,ord_3,1,1
